@relation sensorAndMotion

@attribute TYPE_ACCELEROMETER_X numeric
@attribute TYPE_ACCELEROMETER_Y numeric
@attribute TYPE_ACCELEROMETER_Z numeric
@attribute TYPE_MAGNETIC_FIELD_X numeric
@attribute TYPE_MAGNETIC_FIELD_Y numeric
@attribute TYPE_MAGNETIC_FIELD_Z numeric
@attribute TYPE_ROTATION_VECTOR_X numeric
@attribute TYPE_ROTATION_VECTOR_Y numeric
@attribute TYPE_ROTATION_VECTOR_Z numeric
@attribute TYPE_LINEAR_ACCELERATION_X numeric
@attribute TYPE_LINEAR_ACCELERATION_Y numeric
@attribute TYPE_LINEAR_ACCELERATION_Z numeric
@attribute TYPE_GRAVITY_X numeric
@attribute TYPE_GRAVITY_Y numeric
@attribute TYPE_GRAVITY_Z numeric
@attribute position_X numeric
@attribute position_Y numeric
@attribute velocity_X numeric
@attribute velocity_Y numeric
@attribute pressure numeric
@attribute size numeric
@attribute Counter {zero,one,two,three,four}

@data
-2.74614,6.727692,6.46434,37.27722,-27.62909,-30.218506,0.175308,0.362946,0.616989,-0.074814,0.037857,-0.18988,-2.671326,6.689835,6.654221,218,1204,0,0,0.3875,0.007843,zero
-2.918518,6.79953,6.430817,37.553406,-29.579163,-28.466797,0.174912,0.364594,0.615845,-0.035904,0.006882,-0.142746,-2.722641,6.716629,6.606186,263.65424,1172.2017,1506.5931,-878.85645,0.3875,0.019608,zero
-2.913742,6.742065,6.651077,38.912964,-30.308533,-28.03955,0.174438,0.363571,0.616715,-0.195862,0.082886,-0.175369,-2.682846,6.714233,6.624893,422.88336,1104.622,4799.9014,-1710.3177,0.3875,0.015686,zero
-2.650375,6.756424,6.540955,38.43689,-28.69873,-27.896118,0.177383,0.361237,0.617142,-0.027222,0.029327,-0.094864,-2.623138,6.727097,6.635819,839.59125,911.318,4709.352,-2885.6716,0.3875,0.011765,zero
-2.511505,6.794739,6.392517,37.217712,-29.49524,-27.253723,0.178268,0.359009,0.617737,0.08783,0.093369,-0.278473,-2.59935,6.70137,6.67099,1044.2902,800.3395,3747.0002,-2104.8538,0.3875,0.007843,zero
-2.664734,6.751648,6.718124,38.171387,-29.77295,-28.785706,0.177185,0.35701,0.618393,-0.075562,0.076309,0.017044,-2.589172,6.675324,6.701065,1146.0151,754.194,943.01324,-234.32402,0.3875,0.015686,zero
-2.72699,6.737274,6.665451,36.787415,-28.840637,-28.785706,0.176392,0.356079,0.619415,-0.155319,0.069122,-0.04953,-2.571671,6.668137,6.714981,1187.073,742,-128.27026,140.19237,0.3875,0.015686,zero
-2.339127,6.550522,6.770798,37.25891,-28.649902,-28.68042,0.178101,0.35437,0.619904,0.193771,-0.129578,0.052963,-2.532913,6.680115,6.717819,1193.0052,733.01306,-71.522514,-177.15118,0.3875,0.011765,zero
-2.310394,6.555313,7.067673,37.25891,-29.348755,-28.930664,0.17955,0.355667,0.616882,0.310333,-0.163391,0.422424,-2.620743,6.71872,6.645248,1163.3362,590.37006,-904.52234,-4136.8184,0.3875,0.015686,zero
-3.129211,7.024582,6.081268,38.186646,-28.544617,-28.800964,0.177872,0.365158,0.610977,-0.322159,0.276077,-0.456985,-2.807037,6.748505,6.538254,1167.9558,413.91693,492.88196,-2043.8392,0.3875,0.019608,zero
-2.659958,6.856979,6.368576,38.461304,-29.786682,-28.108215,0.177231,0.367584,0.605743,-0.311386,-0.02005,0.317368,-2.817825,6.728592,6.55397,1178,295.94434,-14.743821,-438.52866,0.3875,0.023529,zero
-2.841904,6.885712,6.79953,38.293457,-28.98407,-27.737427,0.174377,0.373489,0.602295,0.197968,0.106079,-0.144989,-2.857925,6.7509,6.513565,1149.6648,263.29047,-669.6057,-376.1225,0.3875,0.015686,zero
-3.454819,6.670242,6.1483,39.15558,-29.02832,-26.856995,0.169769,0.382187,0.596725,0.182404,0.135864,0.360321,-3.024323,6.749847,6.439194,1039.2157,220.77594,-3018.644,-1035.805,0.65,0.023529,zero
-3.880997,7.101196,5.808319,40.911865,-28.089905,-26.930237,0.166641,0.388306,0.588135,-0.215027,-0.075562,-0.189285,-3.239792,6.745804,6.337601,776.4475,199.18909,-4149.3315,192.31674,0.65,0.015686,zero
-3.311173,6.861771,5.918457,40.79132,-27.94342,-27.26593,0.166763,0.390152,0.584641,-0.503967,0.37558,-0.478989,-3.377014,6.725601,6.287323,632.9198,230.03436,-1286.9293,730.9911,0.65,0.023529,zero
-3.47876,6.64151,6.770798,40.91339,-27.15149,-27.355957,0.16568,0.388336,0.584579,0.071075,0.169983,-0.402069,-3.382248,6.691788,6.320541,469.38074,353.8573,-2907.2705,2715.5627,0.65,0.027451,zero
-3.311173,6.833038,6.435608,41.322327,-27.96936,-27.064514,0.164581,0.38826,0.584915,-0.090225,-0.052063,0.45549,-3.388535,6.693588,6.315292,286.6974,547.71545,-2888.5193,3423.8855,0.65,0.015686,zero
-3.608048,6.742065,5.870575,42.114258,-28.128052,-27.45819,0.165527,0.390717,0.583572,0.127487,0.08049,0.210831,-3.43866,6.752533,6.224762,195.5,649.5,-580.501,663.20905,0.25,0.003922,zero
-3.248917,6.823471,6.234497,38.96942,-28.599548,-27.893066,0.17453,0.376007,0.591492,0.069717,-0.016159,0.063889,-3.050507,6.719925,6.457901,245,1214,0,0,0.5,0.015686,one
-3.086121,6.526581,6.895294,38.563538,-27.890015,-28.76587,0.171417,0.368805,0.59346,-0.071518,-0.101151,0.326202,-3.014587,6.627747,6.569077,298.09744,1175.4374,1684.019,-1094.1509,0.5,0.015686,one
-3.224976,6.708542,6.426025,39.797974,-28.213501,-28.64685,0.172256,0.371201,0.594238,-0.192581,0.061493,-0.115356,-3.032394,6.647049,6.541397,535.9312,1038.4044,5276.4175,-2878.6304,0.5,0.019608,one
-2.90416,6.598419,6.665451,39.268494,-27.8656,-28.952026,0.173233,0.370804,0.594406,0.124496,-0.071518,0.145584,-3.028656,6.669937,6.519852,806.70123,895.7352,5963.715,-3051.1206,0.5,0.019608,one
-2.971191,6.742065,6.50264,39.556885,-28.005981,-28.08075,0.174057,0.372238,0.593689,0.107285,-0.084534,0.151123,-3.011444,6.682953,6.514313,1055.136,782.432,2454.7473,-1077.0524,0.5,0.015686,one
-3.224976,6.809097,6.50264,39.179993,-28.257751,-28.536987,0.172302,0.372711,0.594894,0.074219,0.044876,0.018555,-3.04541,6.697174,6.484085,1133.3984,744.20056,27.70131,-21.300003,0.5,0.019608,one
-2.908951,6.727692,6.813889,38.389587,-28.901672,-28.007507,0.175995,0.368347,0.595673,-0.221756,0.127335,-0.016907,-3.00322,6.681763,6.519547,1143.1238,738.7523,-152.90138,56.56503,0.5,0.019608,one
-2.712616,6.962326,5.602417,38.539124,-28.475952,-28.35083,0.175613,0.374405,0.592606,0.024536,0.023483,0.285797,-2.933487,6.704208,6.528076,1119.5059,543.6108,-776.75104,-5603.9946,0.5,0.015686,one
-3.751709,6.751648,6.766007,38.150024,-29.153442,-27.764893,0.171341,0.376984,0.591019,0.402069,0.234772,-0.816864,-3.1147,6.727554,6.419296,1137.8341,363.7188,403.38123,-1795.2645,0.5,0.019608,one
-2.908951,6.646301,6.157883,40.2359,-28.868103,-27.442932,0.174225,0.376526,0.589737,-0.64389,0.051773,0.314529,-3.107819,6.69986,6.451462,1145.1563,308.0628,88.10756,-673.08887,0.5,0.019608,one
-2.899368,6.732483,6.44519,39.6286,-28.619385,-29.167175,0.174927,0.37886,0.589508,0.202606,-0.090225,-0.253479,-3.111557,6.736527,6.411362,1142.2703,291.27026,-130.07051,44.97408,0.5,0.015686,one
-3.215408,6.732483,5.923248,39.353943,-29.13208,-28.32489,0.173782,0.380844,0.586823,0.220261,-0.021988,0.056702,-3.119644,6.754486,6.388474,1070.437,262.23566,-1901.9573,-633.3184,0.5,0.015686,one
-3.675095,6.861771,6.205765,41.419983,-28.456116,-28.060913,0.171692,0.383972,0.582977,-0.409393,0.131973,-0.135559,-3.265686,6.729797,6.341339,747.5938,293.31445,-4458.3867,1432.0995,0.5,0.023529,one
-3.325531,6.847412,6.296738,40.64331,-28.309631,-27.394104,0.173096,0.383072,0.58168,-0.074219,0.111023,-0.045029,-3.251312,6.736374,6.341782,586.23505,373.4781,-1355.9711,1156.1692,0.5,0.023529,one
-3.315964,6.689392,6.497849,40.377808,-28.245544,-27.479553,0.172714,0.382431,0.58313,-0.0784,-0.033508,0.134659,-3.237549,6.722916,6.363174,482.578,454.0929,-2037.0931,1869.5118,0.5,0.023529,one
-3.081329,6.81868,6.79953,40.112305,-27.241516,-28.601074,0.172256,0.380722,0.583206,0.16011,0.108185,0.425262,-3.24144,6.710495,6.374252,341.64566,596.45105,-1994.2854,2256.6667,0.5,0.023529,one
-3.502716,6.809097,6.258438,39.926147,-29.125977,-27.981567,0.172699,0.383133,0.582199,-0.236862,0.067474,-0.070328,-3.265839,6.741623,6.328766,293.55716,647.4428,-1246.1254,1444.0387,0.5,0.007843,one
-2.952042,6.785156,6.569687,37.96692,-27.384949,-28.570557,0.177811,0.369461,0.589417,-0.118805,-0.013458,0.037552,-2.991242,6.698074,6.508179,237,1304,0,0,0.475,0.015686,two
-3.114853,6.550522,6.833038,39.286804,-28.530884,-29.682922,0.17691,0.367493,0.590317,-0.013611,0.012405,-0.031723,-2.971939,6.648239,6.567886,296.48846,1256.8905,2241.0444,-1561.1425,0.475,0.015686,two
-2.913742,6.804306,6.449966,38.034058,-27.662659,-28.56903,0.175873,0.365326,0.591538,-0.163101,-0.073318,0.231476,-2.951737,6.623856,6.601547,485.34174,1141.134,5374.468,-2977.863,0.475,0.019608,two
-2.913742,6.737274,6.382935,38.15918,-27.900696,-28.05481,0.176682,0.36615,0.591064,0.050415,0.154724,-0.120148,-2.964157,6.649582,6.570129,854.8832,945.3469,6113.7866,-3168.944,0.475,0.015686,two
-2.908951,6.79953,6.210556,39.100647,-28.118896,-28.909302,0.176834,0.367264,0.591095,0.037247,0.068222,-0.173279,-2.950989,6.669037,6.556213,1106.6597,806.8861,2231.3984,-1387.1345,0.475,0.011765,two
